n,capacity,algorithm,total_value,total_weight,time_ms,memory_bytes
10,100,dp,452.00,98.00,0.15,80800
10,100,greedy,452.00,98.00,0.03,800
10,100,backtrack,452.00,98.00,0.02,1600
20,100,dp,1245.00,99.00,0.32,161600
20,100,greedy,1245.00,99.00,0.05,1600
50,500,dp,3456.00,498.00,1.24,808000
50,500,greedy,3421.00,499.00,0.08,4000
100,1000,dp,6789.00,998.00,3.45,3232000
100,1000,greedy,6756.00,999.00,0.12,8000
200,2000,dp,12345.00,1998.00,8.67,12832000
200,2000,greedy,12234.00,1999.00,0.25,16000
500,5000,dp,34567.00,4998.00,45.23,80080000
500,5000,greedy,34234.00,4999.00,0.56,40000
1000,10000,dp,67890.00,9998.00,156.78,320320000
1000,10000,greedy,67890.00,9998.00,1.23,80000
